INFO 2025-05-04 15:50:53,069 autoreload Watching for file changes with StatReloader
WARNING 2025-05-04 16:03:48,871 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:03:49,056 log Forbidden: /api/events/
WARNING 2025-05-04 16:03:49,102 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:03:50,336 log Forbidden: /api/events/
WARNING 2025-05-04 16:03:50,337 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:03:50,353 log Forbidden: /api/events/
WARNING 2025-05-04 16:03:50,353 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:04:13,959 log Forbidden: /api/events/
WARNING 2025-05-04 16:04:13,961 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:04:13,992 log Forbidden: /api/events/
WARNING 2025-05-04 16:04:13,994 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:04:15,034 log Forbidden: /api/events/
WARNING 2025-05-04 16:04:15,038 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:04:15,059 log Forbidden: /api/events/
WARNING 2025-05-04 16:04:15,060 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:04:17,111 log Forbidden: /api/events/
WARNING 2025-05-04 16:04:17,112 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:04:17,114 log Forbidden: /api/events/
WARNING 2025-05-04 16:04:17,115 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:06:19,355 log Forbidden: /api/events/
WARNING 2025-05-04 16:06:19,356 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:06:19,394 log Forbidden: /api/events/
WARNING 2025-05-04 16:06:19,403 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:06:19,514 log Forbidden: /api/events/
WARNING 2025-05-04 16:06:19,515 log Forbidden: /api/events/
WARNING 2025-05-04 16:06:19,518 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:06:19,520 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:06:20,444 log Forbidden: /api/events/
WARNING 2025-05-04 16:06:20,445 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:06:20,475 log Forbidden: /api/events/
WARNING 2025-05-04 16:06:20,477 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:06:20,572 log Forbidden: /api/events/
WARNING 2025-05-04 16:06:20,573 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:06:20,661 log Forbidden: /api/events/
WARNING 2025-05-04 16:06:20,663 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:06:22,499 log Forbidden: /api/events/
WARNING 2025-05-04 16:06:22,500 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:06:22,522 log Forbidden: /api/events/
WARNING 2025-05-04 16:06:22,524 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:06:22,662 log Forbidden: /api/events/
WARNING 2025-05-04 16:06:22,663 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:06:22,722 log Forbidden: /api/events/
WARNING 2025-05-04 16:06:22,722 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:07:56,874 log Forbidden: /api/events/
WARNING 2025-05-04 16:07:56,879 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:07:56,890 log Forbidden: /api/events/
WARNING 2025-05-04 16:07:56,891 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:07:58,007 log Forbidden: /api/events/
WARNING 2025-05-04 16:07:58,009 log Forbidden: /api/events/
WARNING 2025-05-04 16:07:58,010 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:07:58,011 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:08:00,078 log Forbidden: /api/events/
WARNING 2025-05-04 16:08:00,079 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:08:00,083 log Forbidden: /api/events/
WARNING 2025-05-04 16:08:00,084 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:08:55,471 log Forbidden: /api/events/
WARNING 2025-05-04 16:08:55,472 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:08:55,474 log Forbidden: /api/events/
WARNING 2025-05-04 16:08:55,476 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:08:56,541 log Forbidden: /api/events/
WARNING 2025-05-04 16:08:56,542 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:08:56,544 log Forbidden: /api/events/
WARNING 2025-05-04 16:08:56,546 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:08:58,579 log Forbidden: /api/events/
WARNING 2025-05-04 16:08:58,581 basehttp "POST /api/events/ HTTP/1.1" 403 63
WARNING 2025-05-04 16:08:58,608 log Forbidden: /api/events/
